编号,姓名,昵称,船票,学分,大区,城市
45,胡勇,胡勇,425,1734,西北,西宁
46,刘静,刘静,770,3077,东北,沈阳
47,何强DISC,何强DISC,800,3349,华中,长沙
48,徐敏,徐敏,272,2183,西南,成都
49,高鹏Tech,高鹏Tech_253,944,2862,华东,上海
50,吴静,吴静,180,3452,华中,长沙
51,周洋2024,周洋2024,688,3270,华东,上海
52,孙霞,孙霞,908,3481,西南,拉萨
53,林敏,林敏_195,233,1875,华中,郑州
54,李强,李强,376,3136,华北,太原
55,刘鹏,刘鹏,438,2969,西北,西宁
56,杨勇,杨勇_739,580,2948,东北,沈阳
57,郭峰,郭峰,828,2505,东北,沈阳
58,张丽,张丽,843,3443,华南,佛山
59,李燕,李燕_123,392,3418,西南,重庆
60,马娜,马娜_533,791,2076,华中,长沙
61,杨鹏,杨鹏_619,635,1820,华东,杭州
62,郭勇,郭勇_602,164,1793,华中,郑州
63,郭敏,郭敏_467,618,2490,东北,长春
64,王芳@AI,王芳@AI,786,2593,华北,天津
65,马勇,马勇,724,2486,华中,长沙
66,王娜_Pro,王娜_Pro,347,2543,华北,太原
67,李磊,李磊_394,953,3195,西北,乌鲁木齐
68,赵明DISC,赵明DISC_986,270,2610,华中,武汉
69,赵霞,赵霞,458,3201,华中,长沙
70,何磊,何磊,508,3451,东北,沈阳
71,李明,李明_517,898,1782,华北,呼和浩特
72,林涛,林涛_430,264,3138,华中,武汉
73,何娜@AI,何娜@AI,625,2779,华东,济南
74,刘勇,刘勇_365,836,2964,华中,武汉
75,李明,李明,886,1831,华东,杭州
76,朱霞,朱霞,178,3053,西北,兰州
77,林杰,林杰_483,903,1818,东北,哈尔滨
78,刘芳_Pro,刘芳_Pro,328,2257,华中,武汉
79,张杰,张杰_867,747,3256,华北,呼和浩特
80,马海_Pro,马海_Pro,458,2089,西南,贵阳
81,赵霞DISC,赵霞DISC_291,926,1780,华中,南昌
82,朱燕Tech,朱燕Tech_404,451,2269,西南,昆明
83,陈伟,陈伟,397,2835,华北,呼和浩特
84,刘燕2024,刘燕2024_396,414,2728,西北,西宁
85,李峰_Pro,李峰_Pro,498,3470,西南,昆明
86,马敏_Pro,马敏_Pro,629,3007,华南,珠海
87,胡洋2024,胡洋2024,383,2020,华南,南宁
88,马芳,马芳_153,194,3473,华中,南昌
89,胡强,胡强_370,973,2028,华北,北京
90,朱丽,朱丽,643,3300,华北,太原
91,王洋DISC,王洋DISC_664,996,1890,西南,贵阳
92,朱燕,朱燕_261,907,3440,华南,广州
93,赵娜,赵娜,884,2798,西北,西宁
94,周静,周静_902,767,3443,东北,沈阳
95,林敏,林敏,749,3162,华北,呼和浩特
96,何芳DISC,何芳DISC_159,711,2906,西南,昆明
97,郭芳,郭芳_723,461,1995,华南,海口
98,刘辉,刘辉_560,508,3422,华北,呼和浩特
99,杨强,杨强_442,995,3182,西南,昆明
100,朱明,朱明_659,625,3381,西北,银川
101,赵海2024,赵海2024,702,1543,华北,天津
102,罗敏,罗敏_405,822,1643,华东,南京
103,林敏Tech,林敏Tech_346,795,1202,东北,长春
104,郭峰Tech,郭峰Tech_228,621,2167,华南,广州
105,王娜Tech,王娜Tech,198,1665,华南,海口
106,周伟2024,周伟2024_636,652,1575,西南,成都
107,黄峰,黄峰,206,1352,西南,拉萨
108,刘辉Tech,刘辉Tech_512,551,952,华北,北京
109,张强@AI,张强@AI,511,1850,东北,哈尔滨
110,高霞2024,高霞2024,978,2006,东北,长春
111,何鹏,何鹏_635,586,1037,东北,哈尔滨
112,杨娜_Pro,杨娜_Pro_361,332,2300,西北,兰州
113,吴勇,吴勇,881,1878,西南,昆明
114,李伟,李伟,769,1356,东北,长春
115,何杰,何杰,387,2035,西北,西安
116,王洋,王洋,311,1047,华北,呼和浩特
117,吴燕,吴燕_710,806,1638,西北,西安
118,罗峰2024,罗峰2024,205,2016,华南,深圳
119,郭海,郭海,641,2377,华北,太原
120,马涛DISC,马涛DISC_357,513,1429,华南,海口
121,陈涛,陈涛,410,2095,华北,呼和浩特
122,陈娜,陈娜,267,2372,华南,深圳
123,李丽,李丽_401,292,956,华南,珠海
124,朱海2024,朱海2024_346,417,936,东北,沈阳
125,徐辉,徐辉,594,2429,西南,昆明
126,陈燕,陈燕,297,2396,西南,拉萨
127,马丽2024,马丽2024,805,2487,东北,哈尔滨
128,马海@AI,马海@AI_154,896,1861,西南,拉萨
129,李军DISC,李军DISC,923,1647,东北,哈尔滨
130,郭涛DISC,郭涛DISC,488,882,华南,南宁
131,刘涛,刘涛,149,1622,华东,杭州
132,杨海,杨海_743,995,1583,西南,贵阳
133,张娜,张娜,913,2280,华北,天津
134,孙海,孙海_180,366,1247,东北,长春
135,徐伟,徐伟,825,2245,华南,广州
136,林芳@AI,林芳@AI,433,1516,西北,银川
137,郭洋DISC,郭洋DISC_691,912,2273,华南,珠海
138,何芳_Pro,何芳_Pro,856,1352,华北,北京
139,黄辉,黄辉,843,1919,东北,沈阳
140,刘强,刘强_538,269,1833,华北,北京
141,陈丽,陈丽_546,133,2277,华东,合肥
142,张杰,张杰_140,626,2247,华北,天津
143,朱燕,朱燕_978,910,2357,华中,南昌
144,罗敏,罗敏_246,321,1609,西南,贵阳
145,徐明,徐明,385,1192,东北,沈阳
146,孙海,孙海_750,970,1008,华东,南昌
147,林洋DISC,林洋DISC_332,991,1784,华中,长沙
148,杨伟,杨伟,736,1175,西北,西宁
149,赵丽,赵丽,108,1243,西南,成都
150,杨霞Tech,杨霞Tech_204,119,1528,西南,昆明
151,高敏,高敏,107,1252,西北,兰州
152,吴鹏DISC,吴鹏DISC_672,157,1020,西南,昆明
153,陈勇,陈勇_902,314,1312,华南,海口
154,郭磊DISC,郭磊DISC,840,2042,东北,长春
155,杨明,杨明,941,2298,华东,上海
156,黄勇Tech,黄勇Tech_790,440,1605,东北,哈尔滨
157,高海2024,高海2024_579,116,1215,西北,西安
158,林明,林明,912,1903,华中,南昌
159,胡丽_Pro,胡丽_Pro,309,1027,西北,西安
160,张明,张明_979,195,1491,华北,北京
161,王勇,王勇,640,1126,华中,武汉
162,刘涛,刘涛,863,1316,东北,大连
163,黄洋,黄洋_656,242,1749,西南,成都
164,李伟,李伟_264,345,1505,西南,拉萨
165,陈海,陈海_195,675,1228,华南,珠海
166,林娜,林娜_789,784,1735,华南,珠海
167,王静,王静_209,606,2022,华东,福州
168,张娜_Pro,张娜_Pro_959,415,2144,东北,沈阳
169,胡伟@AI,胡伟@AI,669,1186,西南,成都
170,马敏,马敏_901,999,2114,华北,北京
171,马军,马军,247,1425,东北,长春
172,罗伟,罗伟_128,893,1319,华中,长沙
173,周静2024,周静2024_397,358,2304,西南,成都
174,高丽@AI,高丽@AI,185,2073,西北,兰州
175,陈磊,陈磊_174,994,927,华南,广州
176,孙伟DISC,孙伟DISC,161,834,华北,太原
177,李勇,李勇,104,1237,西南,贵阳
178,林明,林明,427,1958,华东,上海
179,林鹏,林鹏_620,804,1803,东北,长春
180,赵强Tech,赵强Tech,807,2112,华东,合肥
181,林辉,林辉_688,122,1731,华东,南京
182,高霞,高霞_381,924,2258,华北,呼和浩特
183,马丽,马丽_303,998,1517,东北,哈尔滨
184,徐涛,徐涛,508,1498,华北,呼和浩特
185,黄鹏,黄鹏,108,852,华北,天津
186,黄杰@AI,黄杰@AI_383,950,2253,华东,合肥
187,赵芳,赵芳_752,460,2155,华北,石家庄
188,朱军,朱军_565,701,2113,华北,北京
189,周静,周静_600,535,1638,东北,长春
190,张鹏,张鹏,401,1062,西北,兰州
191,孙海,孙海_580,336,1175,华东,南昌
192,罗丽Tech,罗丽Tech,474,1469,东北,大连
193,张敏,张敏,377,988,华中,武汉
194,赵勇,赵勇_662,795,2074,华中,郑州
195,胡杰,胡杰,591,1680,东北,沈阳
196,高洋,高洋_976,341,2169,东北,大连
197,杨磊,杨磊,727,1006,西南,成都
198,林峰,林峰_148,456,1742,西南,贵阳
199,罗辉,罗辉_918,908,1475,华北,石家庄
200,吴娜,吴娜,580,1485,西南,重庆
201,高洋,高洋_579,872,1101,华南,海口
202,陈军Tech,陈军Tech_268,297,1870,华南,佛山
203,王辉,王辉,219,1478,华东,杭州
204,高军,高军_289,539,1941,华北,天津
205,孙辉Tech,孙辉Tech_290,721,2202,华东,南京
206,胡辉,胡辉,897,1504,华北,北京
207,罗勇,罗勇,287,1799,华南,广州
208,林燕Tech,林燕Tech_281,399,1550,华北,北京
209,黄辉,黄辉,553,1780,西北,西安
210,徐静Tech,徐静Tech_937,461,1700,华中,武汉
211,杨磊2024,杨磊2024_489,451,1543,西北,西宁
212,陈洋,陈洋_664,817,2322,华东,南京
213,徐芳,徐芳_933,324,1949,西北,兰州
214,张明Tech,张明Tech_943,964,2146,西北,西宁
215,高鹏,高鹏,526,851,华南,广州
216,赵海,赵海_669,363,869,华中,郑州
217,孙芳,孙芳_832,722,1627,华北,太原
218,林洋,林洋_647,865,1641,西南,成都
219,刘芳Tech,刘芳Tech_253,111,2348,西南,重庆
220,高丽,高丽,688,1975,华东,福州
221,孙洋@AI,孙洋@AI,228,1168,华中,武汉
222,郭鹏,郭鹏,532,2134,西南,昆明
223,张洋,张洋,872,2204,东北,哈尔滨
224,王杰,王杰,985,2129,华东,杭州
225,徐峰,徐峰_720,711,1168,西南,贵阳
226,王伟,王伟_740,438,1688,华北,石家庄
227,刘强,刘强,995,1007,东北,长春
228,林杰,林杰,205,1927,华中,郑州
229,陈鹏,陈鹏,656,1887,华中,长沙
230,孙海Tech,孙海Tech,648,2241,华北,呼和浩特
231,孙伟,孙伟,186,2025,东北,大连
232,朱芳Tech,朱芳Tech,643,862,东北,哈尔滨
233,黄鹏,黄鹏_720,451,1679,西南,重庆
234,朱娜,朱娜,295,1608,西南,贵阳
235,朱芳,朱芳_837,841,2499,东北,大连
236,郭磊,郭磊,673,2347,东北,大连
237,杨燕_Pro,杨燕_Pro_449,383,1901,华南,深圳
238,王海DISC,王海DISC_434,319,964,东北,哈尔滨
239,罗磊_Pro,罗磊_Pro_620,700,1806,西北,西安
240,张杰,张杰,238,1874,西北,西安
241,孙霞,孙霞_834,947,1660,华南,佛山
242,陈敏,陈敏,923,2484,西南,贵阳
243,马敏,马敏_671,256,809,西南,成都
244,高敏@AI,高敏@AI,293,1247,东北,沈阳
245,赵燕,赵燕,347,2249,西北,兰州
246,何娜,何娜,529,1590,华南,海口
247,周辉@AI,周辉@AI_535,591,835,西北,银川
248,杨丽,杨丽,509,1067,华中,郑州
249,孙军_Pro,孙军_Pro,361,1439,华北,北京
250,罗勇,罗勇_536,431,1293,华南,海口
251,罗峰,罗峰,309,2496,华北,呼和浩特
252,孙伟,孙伟,152,927,东北,哈尔滨
253,胡霞,胡霞,503,903,西南,重庆
254,胡涛,胡涛,907,2354,华北,天津
255,郭磊2024,郭磊2024_153,845,1326,西南,昆明
256,张明,张明,167,2159,华东,杭州
257,刘洋_Pro,刘洋_Pro,324,1953,西南,贵阳
258,吴海,吴海_746,763,2313,西北,西宁
259,朱辉Tech,朱辉Tech_623,946,821,西南,拉萨
260,高军,高军,157,2493,西北,银川
261,刘敏,刘敏_590,785,1569,华南,深圳
262,张敏,张敏,402,1701,东北,哈尔滨
263,陈霞,陈霞,971,1677,华中,武汉
264,张霞,张霞,133,1703,华中,南昌
265,周洋DISC,周洋DISC_885,789,2046,华南,南宁
266,孙燕,孙燕,454,2128,华南,广州
267,马洋@AI,马洋@AI_135,713,814,华中,南昌
268,赵芳,赵芳_231,234,1993,华南,海口
269,陈海,陈海_689,780,2018,华中,长沙
270,赵静,赵静,976,2381,西南,贵阳
271,徐涛,徐涛_660,898,2377,西南,成都
272,朱丽,朱丽,629,2090,华中,长沙
273,林磊2024,林磊2024_896,920,2368,西北,西宁
274,王燕,王燕,143,2426,华中,长沙
275,赵伟,赵伟_109,449,2056,华东,济南
276,林敏,林敏_904,201,927,西南,重庆
277,杨燕,杨燕_924,526,1348,华中,武汉
278,孙燕,孙燕_353,485,2014,西南,贵阳
279,朱磊,朱磊_727,155,904,华东,南昌
280,孙娜Tech,孙娜Tech_841,176,2138,华北,天津
281,赵军,赵军_291,264,1851,西北,银川
282,何芳Tech,何芳Tech_434,328,2360,东北,大连
283,张鹏Tech,张鹏Tech_969,424,2448,华北,石家庄
284,刘磊DISC,刘磊DISC,898,1391,华中,长沙
285,周伟,周伟,550,1555,华北,北京
286,罗杰,罗杰_289,713,1181,东北,沈阳
287,张强,张强,443,1086,华南,深圳
288,胡伟,胡伟_390,457,2367,华北,石家庄
289,孙明,孙明,981,855,东北,哈尔滨
290,陈磊,陈磊,299,2127,西北,兰州
291,郭军,郭军_196,341,933,东北,哈尔滨
292,朱海,朱海,629,1333,华中,长沙
293,王敏,王敏_231,909,1303,西北,兰州
294,周杰,周杰_270,107,1273,西北,西宁
295,何霞,何霞,898,2102,华南,珠海
296,高敏,高敏,654,1689,华南,海口
297,杨峰,杨峰,476,1018,华东,福州
298,杨敏,杨敏,473,938,西北,银川
299,胡磊,胡磊,664,2446,华南,南宁
300,林娜,林娜_888,137,2352,华东,合肥
301,杨娜,杨娜,230,1433,华东,合肥
302,周辉@AI,周辉@AI,647,2214,华南,海口
303,王明DISC,王明DISC_527,705,829,东北,大连
304,孙磊,孙磊_732,143,1416,华东,杭州
305,胡静Tech,胡静Tech_877,313,1610,华北,北京
306,王磊,王磊_258,115,2296,华东,杭州
307,李敏,李敏,922,2094,华中,郑州
308,张静DISC,张静DISC,296,2040,华南,珠海
309,刘燕,刘燕,479,987,西南,贵阳
310,陈敏,陈敏,569,2479,东北,沈阳
311,郭燕,郭燕_161,760,1219,华北,北京
312,张辉,张辉,813,1461,华东,济南
313,刘明,刘明_863,315,1024,华北,太原
314,孙芳,孙芳,902,2216,华东,福州
315,胡丽_Pro,胡丽_Pro,300,2094,东北,大连
316,何强,何强,560,2421,华中,长沙
317,林静,林静_250,759,963,华北,太原
318,林霞_Pro,林霞_Pro_665,313,1813,华东,济南
319,林军2024,林军2024_673,591,1962,华中,南昌
320,林鹏,林鹏,523,2145,西北,西宁
321,何海,何海_128,857,801,东北,大连
322,黄明,黄明,778,925,西北,乌鲁木齐
323,高燕,高燕,260,1544,华东,合肥
324,张洋DISC,张洋DISC_427,133,1175,华东,上海
325,郭强DISC,郭强DISC_932,344,2429,东北,哈尔滨
326,高敏,高敏_434,891,1342,东北,长春
327,胡辉,胡辉_471,843,837,华东,福州
328,罗芳2024,罗芳2024_350,823,1465,华东,合肥
329,杨杰,杨杰_229,696,1856,东北,长春
330,陈燕,陈燕_707,636,1236,华中,南昌
331,高洋Tech,高洋Tech,541,847,华东,济南
332,李涛,李涛,797,2421,东北,沈阳
333,刘芳,刘芳_730,451,820,华东,合肥
334,何娜,何娜_954,376,2222,华中,武汉
335,黄鹏,黄鹏_398,792,1300,华北,天津
336,刘勇Tech,刘勇Tech,306,1165,华北,太原
337,朱霞,朱霞_715,765,2315,华中,长沙
338,吴军,吴军_432,468,1348,华北,北京
339,孙娜,孙娜_952,857,969,华中,武汉
340,马明,马明_294,765,1108,西北,西宁
341,张强,张强_180,399,1913,华东,济南
342,陈洋,陈洋_951,723,1304,西北,银川
343,郭燕,郭燕,674,2180,西北,乌鲁木齐
344,高军,高军,277,2314,东北,大连
345,孙明,孙明,364,2348,华北,太原
346,刘伟,刘伟_109,894,1247,西南,贵阳
347,高峰,高峰,231,2056,西北,西安
348,王丽DISC,王丽DISC_668,794,2091,华北,石家庄
349,胡静,胡静_136,728,1473,华南,珠海
350,王磊,王磊_677,112,2256,华中,南昌
351,郭芳,郭芳,539,861,华中,武汉
352,刘丽,刘丽,698,1765,西南,贵阳
353,高军@AI,高军@AI_447,680,1856,华北,太原
354,林芳,林芳_100,784,1046,华北,太原
355,朱娜Tech,朱娜Tech,383,1819,西南,贵阳
356,罗明,罗明_197,348,2429,东北,沈阳
357,朱燕,朱燕,189,1847,华中,南昌
358,周强,周强,919,1619,西北,银川
359,胡敏,胡敏_262,228,1542,华东,济南
360,高敏,高敏_766,512,2450,华东,福州
361,马磊,马磊_685,211,1324,西北,西宁
362,陈涛,陈涛_400,306,2132,东北,大连
363,吴勇,吴勇,853,1999,华北,太原
364,王鹏DISC,王鹏DISC_410,547,2191,华北,呼和浩特
365,吴军@AI,吴军@AI_711,639,1081,华南,佛山
366,赵杰,赵杰,711,2143,华南,南宁
367,黄峰,黄峰_841,153,1990,华中,长沙
368,王峰DISC,王峰DISC_590,382,2141,华中,郑州
369,周丽Tech,周丽Tech_863,193,1180,东北,大连
370,孙娜,孙娜,778,2241,华南,南宁
371,罗海Tech,罗海Tech_281,195,1874,华东,合肥
372,孙明,孙明,530,837,华北,北京
373,吴洋,吴洋,259,1083,西南,拉萨
374,罗磊@AI,罗磊@AI,668,1946,华中,南昌
375,王洋,王洋_470,580,2457,华北,石家庄
376,刘洋Tech,刘洋Tech_743,170,844,华南,南宁
377,李杰,李杰_849,266,1646,华中,南昌
378,刘静,刘静_780,876,1300,西南,成都
379,杨明,杨明_104,368,1146,华中,武汉
380,刘丽,刘丽,424,1277,华中,长沙
381,张军,张军,495,1333,西南,重庆
382,黄静,黄静,740,2116,西南,拉萨
383,朱峰,朱峰_656,397,1875,华中,南昌
384,高洋DISC,高洋DISC,970,1758,东北,大连
385,孙强Tech,孙强Tech_257,647,1994,华中,南昌
386,林辉,林辉_185,430,1556,华北,石家庄
387,郭军,郭军_963,451,1232,华南,深圳
388,徐海,徐海,581,2443,华中,南昌
389,林峰,林峰_422,148,1669,西北,兰州
390,吴海,吴海_464,891,1004,东北,长春
391,赵鹏2024,赵鹏2024_477,980,2208,西南,昆明
392,刘辉,刘辉,656,892,华南,广州
393,胡丽,胡丽,947,2235,东北,哈尔滨
394,杨强DISC,杨强DISC_734,552,1016,华中,长沙
395,朱鹏,朱鹏,545,1457,西北,乌鲁木齐
396,刘强,刘强_805,247,1652,华东,济南
397,胡敏,胡敏,991,2310,西南,成都
398,王娜,王娜_475,397,1995,华中,长沙
399,赵强,赵强_406,741,1108,东北,大连
400,何峰,何峰_371,934,952,华北,太原
401,林海,林海,372,2011,西北,银川
402,徐娜Tech,徐娜Tech,119,1176,西北,银川
403,杨伟,杨伟,898,1433,西南,成都
404,杨娜,杨娜_706,594,1895,西北,兰州
405,徐杰,徐杰_100,822,1932,东北,长春
406,郭丽,郭丽_234,196,1689,华中,南昌
407,杨磊,杨磊,309,1363,西南,成都
408,罗丽Tech,罗丽Tech_308,725,1246,华东,上海
409,刘静,刘静_853,844,2108,华中,武汉
410,罗丽,罗丽_226,390,1747,华北,太原
411,郭芳DISC,郭芳DISC,831,1947,西南,成都
412,林涛,林涛_877,524,2148,华南,海口
413,黄伟,黄伟,724,1575,华北,太原
414,刘涛,刘涛_804,757,1766,华中,长沙
415,朱洋@AI,朱洋@AI,725,1927,西北,银川
416,李峰,李峰_361,508,935,华东,杭州
417,黄辉_Pro,黄辉_Pro_574,999,1822,华南,广州
418,杨辉DISC,杨辉DISC_266,481,2060,东北,大连
419,郭杰@AI,郭杰@AI_788,836,2155,西北,西宁
420,王敏,王敏_465,277,1908,华南,南宁
421,赵娜,赵娜,473,925,华东,南昌
422,李军DISC,李军DISC_512,456,2210,西南,昆明
423,孙静2024,孙静2024,977,1481,华中,武汉
424,张丽,张丽,900,1359,华北,北京
425,何杰@AI,何杰@AI,193,2189,西南,成都
426,陈鹏Tech,陈鹏Tech_411,144,2484,西南,昆明
427,杨勇Tech,杨勇Tech_461,234,1233,华东,南京
428,马涛DISC,马涛DISC_174,177,1031,西南,拉萨
429,孙涛Tech,孙涛Tech,861,1305,华北,北京
430,周静Tech,周静Tech,584,1556,东北,大连
431,孙敏2024,孙敏2024,335,2414,华北,天津
432,张辉DISC,张辉DISC_423,506,1583,华北,呼和浩特
433,徐芳@AI,徐芳@AI,275,2032,华中,南昌
434,马娜,马娜_655,324,1651,华东,济南
435,赵燕,赵燕,654,1743,西南,贵阳
436,张涛,张涛,374,1415,西南,昆明
437,罗强,罗强_907,682,845,华东,济南
438,刘勇,刘勇,826,2042,华中,郑州
439,杨辉,杨辉_315,477,1900,东北,沈阳
440,何娜@AI,何娜@AI_655,600,2218,东北,哈尔滨
441,朱燕@AI,朱燕@AI_588,835,1999,东北,大连
442,张磊@AI,张磊@AI_575,224,2085,东北,长春
443,朱海2024,朱海2024,780,2051,华南,南宁
444,胡军,胡军_204,795,1452,西北,乌鲁木齐
445,王涛,王涛_713,475,2425,华东,南京
446,林洋,林洋,315,2035,东北,长春
447,林芳,林芳,120,2234,西北,银川
448,黄鹏,黄鹏,498,1418,华东,杭州
449,罗霞,罗霞_707,800,2300,华东,杭州
450,孙辉,孙辉,122,869,华南,广州
451,何丽,何丽_888,959,1768,华东,福州
452,何燕2024,何燕2024_478,484,1043,东北,长春
453,徐杰,徐杰,996,2243,华北,石家庄
454,吴磊_Pro,吴磊_Pro,591,2179,西南,贵阳
455,高霞@AI,高霞@AI_284,308,1160,华北,天津
456,林军,林军_396,854,1823,西南,贵阳
457,马磊,马磊_375,447,2426,华南,深圳
458,杨娜,杨娜_255,246,1167,西北,西安
459,张强@AI,张强@AI_519,542,2289,华北,呼和浩特
460,何伟,何伟,195,1292,东北,长春
461,刘军,刘军_108,591,1239,华北,太原
462,胡强,胡强,388,1023,东北,大连
463,陈军@AI,陈军@AI,978,2262,西南,拉萨
464,罗丽,罗丽,843,1166,华中,长沙
465,胡静,胡静,247,1206,西北,乌鲁木齐
466,高强,高强,558,2046,华中,长沙
467,徐丽,徐丽_566,279,2078,华北,北京
468,刘辉,刘辉,455,2154,西北,西安
469,赵鹏,赵鹏,632,1401,西北,西安
470,周明@AI,周明@AI,838,2351,华南,深圳
471,朱娜,朱娜,803,1558,华北,石家庄
472,吴勇,吴勇_667,581,2009,西南,贵阳
473,陈峰,陈峰,864,1635,华中,南昌
474,马辉,马辉_573,834,1985,东北,哈尔滨
475,何勇Tech,何勇Tech,894,1257,华南,广州
476,刘洋Tech,刘洋Tech_155,241,1573,华北,石家庄
477,李伟,李伟,501,2011,华东,合肥
478,黄燕,黄燕_143,752,2225,华南,广州
479,吴勇@AI,吴勇@AI,810,2032,华北,呼和浩特
480,孙鹏,孙鹏,985,954,东北,哈尔滨
481,朱辉Tech,朱辉Tech,175,2270,华东,济南
482,马伟@AI,马伟@AI,121,1447,华南,珠海
483,孙杰,孙杰,737,946,华北,呼和浩特
484,黄杰,黄杰_690,420,1358,华南,深圳
485,杨霞,杨霞,412,1053,华东,济南
486,赵燕,赵燕,859,1953,华南,深圳
487,郭娜_Pro,郭娜_Pro,994,1805,华北,北京
488,徐强,徐强,746,2328,华中,郑州
489,罗娜Tech,罗娜Tech_274,421,1360,华中,南昌
490,徐军,徐军_950,130,1850,西南,拉萨
491,陈勇DISC,陈勇DISC,293,1871,华北,石家庄
492,吴洋DISC,吴洋DISC_280,923,1560,华北,北京
493,马峰,马峰_939,973,1297,华南,广州
494,何涛_Pro,何涛_Pro_226,339,1519,西北,乌鲁木齐
495,吴洋,吴洋_545,440,1353,西北,乌鲁木齐
496,吴杰,吴杰,768,1524,西北,西宁
497,马峰,马峰,259,1810,东北,长春
498,陈燕,陈燕_511,844,1296,华中,南昌
499,王静,王静,614,2418,华东,福州
500,黄霞,黄霞,537,1828,西南,成都
501,王军,王军_415,107,1461,华中,武汉
502,朱伟,朱伟_616,284,504,华中,武汉
503,杨明,杨明_831,328,922,西北,兰州
504,赵洋,赵洋,237,1018,西北,银川
505,张静,张静_827,945,1287,西南,重庆
506,刘芳2024,刘芳2024_881,598,1400,华北,呼和浩特
507,周芳2024,周芳2024_381,109,792,西北,乌鲁木齐
508,高丽,高丽,475,1075,华北,石家庄
509,朱峰,朱峰,297,532,华东,南昌
510,吴芳,吴芳_846,994,866,西南,拉萨
511,周明@AI,周明@AI,930,473,华南,海口
512,张峰@AI,张峰@AI_820,434,944,西北,西安
513,孙燕2024,孙燕2024_178,606,574,华中,长沙
514,张娜,张娜,635,1225,华北,太原
515,陈娜,陈娜_165,953,768,东北,沈阳
516,张洋,张洋_929,740,606,华中,长沙
517,朱峰,朱峰_244,700,474,西南,成都
518,吴磊@AI,吴磊@AI,629,492,西北,西宁
519,徐鹏@AI,徐鹏@AI,363,334,华中,武汉
520,林涛,林涛,382,787,华南,南宁
521,王丽,王丽_907,230,1271,西北,银川
522,何霞,何霞_535,694,972,华东,杭州
523,胡娜@AI,胡娜@AI_355,585,1230,华东,南京
524,林明,林明_110,137,1298,西北,乌鲁木齐
525,马海,马海_209,290,1317,西北,西宁
526,孙峰@AI,孙峰@AI_305,698,1223,西北,西宁
527,罗涛_Pro,罗涛_Pro_684,986,454,华东,杭州
528,林军_Pro,林军_Pro_707,540,345,西南,成都
529,马敏,马敏,755,795,西北,银川
530,赵勇,赵勇_726,380,1500,华中,武汉
531,杨杰,杨杰,449,877,东北,哈尔滨
532,陈涛,陈涛,428,1136,西南,重庆
533,高辉,高辉_366,429,519,西南,成都
534,黄霞,黄霞,585,317,华中,长沙
535,周涛,周涛,908,1217,西南,重庆
536,杨伟,杨伟_244,947,444,华北,呼和浩特
537,高杰_Pro,高杰_Pro_763,778,495,西南,重庆
538,林杰Tech,林杰Tech,150,833,华中,郑州
539,黄磊,黄磊,319,1242,华南,珠海
540,张勇,张勇,976,754,华北,呼和浩特
541,胡军,胡军,824,568,华中,南昌
542,刘涛,刘涛_318,790,864,东北,哈尔滨
543,林娜,林娜_776,942,1063,华东,福州
544,罗涛Tech,罗涛Tech_323,290,984,华中,南昌
